2cm,,3.6cm,,6cm,
X,Y,X,Y,X,Y
13.345449144429145,31.733796117611163,9.399889477546363,51.81806564691093,13.80703603907583,23.323445408731516
13.377991170464988,29.74895249671117,9.368532252469656,57.93018651178585,14.071872909244806,19.82797156135149
13.4339309515833,27.450885832578365,9.339630713694138,57.18226128381285,14.189805499834245,17.616485017515643
13.438576324928038,28.9137005956035,9.398193193053462,54.37647910143466,14.376394025937543,21.01588750030851
13.509067623458877,24.705187038259382,9.553904208998548,43.46919885755875,14.384694492025488,19.261355491106386
13.52630482829656,23.228128283612776,9.542081106083037,45.72543916720885,14.449110525967411,23.986579623523653
13.587319187933762,19.511101004750515,9.501591027605258,52.69494833651291,14.518311751002162,25.838895619119015
13.63585941206358,17.87308378795207,9.539574577415365,50.8518213368075,14.550125384091844,27.276883681143573
13.72733671606955,14.39615134377658,9.546130113930815,39.71008899132142,14.642661280905033,31.142632393429096
13.776011905414698,16.19319877846553,9.645330806201375,36.78413585420273,14.738937689729976,33.281423567077994
13.885046923609682,11.799510697390119,9.685955851607414,34.99537583303008,14.708807929745241,34.97595023585562
13.984004675409377,9.522250035839136,9.755058918876156,33.20106524927495,14.945735141933222,37.15727834569019
13.915009581683243,10.463041584420452,9.785144274157222,30.907410062157894,14.98572921694965,39.15332723149139
14.157581960927397,25.061819351870966,9.753979183450085,29.984120507702656,15.164417717569018,35.18413912179636
14.213777281966255,23.15582854559287,9.913301507399773,25.485702943219806,15.228324869083483,33.41965791504117
14.23869203257326,30.80907894403971,10.008239461203022,24.017095354857204,15.158054990951081,37.774114222070295
14.27233452424965,36.09526110186033,10.06797577242973,22.29445041583122,15.313812569435813,29.933542501355873
14.317365926575313,40.95651290164043,12.12939712081316,35.00843598028297,15.384046126641016,26.54980203207235
14.397017258561531,51.97847512239128,12.243232084304974,38.07043689083322,15.468478925947391,24.865750025074277
14.509590811022335,54.41996415965627,12.374517826674793,40.649799088795376,15.521817855995453,23.450420769787797
14.554752821632166,62.7239890607942,12.374651310449998,38.58845281548544,15.542710736489989,22.093212462250776
14.82860401094651,43.29438871965869,12.447102992403924,43.106084599841665,15.684794102784743,19.188541096150587
14.735398628697256,46.3812125756757,12.583863346486169,44.38909205124179,15.627739901293324,20.713336568044724
14.842232378824399,42.014820859477524,12.82967302808636,44.74172198758313,15.743474042275647,16.502015261956473
14.839802974115733,39.309065646262255,12.944417411594777,47.01745478040924,15.855359801925168,14.496322353693657
14.935359559323292,35.38180254292425,13.041648005214856,48.74485230815551,,
15.013947120732434,31.154295733489207,13.1083572404537,47.26192707931292,,
15.012290708431074,32.91290285092873,13.149747098453208,48.42197545295149,,
15.085172849691077,29.01301213200564,13.257209955386124,42.939205208759596,,
15.171648088725764,20.235833753238197,13.319246944218806,40.704302635136344,,
15.254347759403696,17.60481698937639,13.396230451186694,36.14582115721801,,
15.393520370406481,15.18091636206941,13.349629827328881,38.49170092116654,,
15.43325027009667,12.683474954754857,13.397315006860204,32.18349320474306,,
15.587249822815545,10.689154467701712,13.50792856191049,35.35049871227545,,
15.790151611773133,9.179366584696112,13.568252549599539,28.809567688173814,,
15.75183449366504,6.382156110960452,13.514157804753225,34.59358424401486,,
15.699002439414219,3.6056960326999956,13.58299093816545,27.593455065605298,,
15.804276643456445,7.868528096041516,13.634008437047454,25.682305551048316,,
6.377171215880893,4.237288135593204,13.73977751982663,22.92895213729878,,
6.719602977667494,2.9661016949152383,13.784184741911934,21.057125738378033,,
6.80893300248139,1.4406779661016884,13.813784385488795,19.83787738930249,,
7.672456575682382,65.25423728813558,13.945208431881255,16.75315901271462,,
7.687344913151366,68.8135593220339,14.056309573499291,15.115940652094096,,
7.746898263027296,69.83050847457628,14.194652349492683,20.807782780660276,,
7.761786600496278,77.96610169491525,14.250911967422374,26.15544348590865,,
7.866004962779156,79.23728813559322,14.194391123179924,16.517901449476284,,
8.744416873449133,57.6271186440678,14.20248913887548,24.982852353803906,,
9.17617866004963,59.78813559322033,14.310827456964672,28.931792394712673,,
9.205955334987593,58.26271186440678,14.342130531479333,32.29503580282211,,
9.652605459057071,20.254237288135585,14.381060767033894,36.996414955789916,,
9.846153846153847,19.491525423728817,14.427538644833373,40.239582633815424,,
10.03970223325062,20.508474576271183,14.348253421395487,38.60381769460649,,
10.08436724565757,21.52542372881355,14.348253421395487,27.91447129009849,,
12.168734491315137,32.96610169491525,14.449478617589936,42.330569125414904,,
12.46650124069479,34.49152542372882,14.48187068037216,46.21600134534587,,
12.615384615384617,37.54237288135593,14.518311751002162,80.82044043536274,,
12.898263027295286,41.61016949152542,14.573841001485974,48.327883859857884,,
14.05955334987593,13.644067796610173,14.477821672524382,81.93661803572151,,
14.148883374689825,16.949152542372886,14.67255966901275,50.21018215556056,,
14.349875930521089,44.78813559322032,14.700517104152171,51.816845494745436,,
14.521091811414394,53.05084745762712,14.850965533005878,48.777175305573195,,
14.640198511166254,53.5593220338983,14.884853514064167,50.14324625343229,,
14.401985111662531,54.067796610169495,14.93683192581339,46.137409988641764,,
14.491315136476427,55.59322033898305,14.967751622105515,44.76625166789806,,
14.699751861042184,48.72881355932203,15.013447567816153,35.62083616239302,,
14.833746898263028,44.15254237288135,15.039656416643643,40.9482863191101,,
15.101736972704716,24.576271186440678,15.008864624867572,42.55129152355755,,
15.146401985111664,23.813559322033896,15.013951839855805,81.07014860243139,,
15.35483870967742,15.932203389830505,15.105417888929967,32.907442409271866,,
15.53349875930521,11.610169491525426,15.19854506942886,31.556523824752176,,
15.563275434243177,9.32203389830508,15.141858959559968,30.30678296924451,,
15.682382133995038,10.33898305084746,15.277316676649269,81.11335484206364,,
15.637717121588091,6.271186440677965,15.299473996756397,24.776738121692404,,
,,15.368603399035536,86.17348345334848,,
,,15.386668203279468,22.6346851542864,,
,,15.478345473806344,20.7818824727442,,
,,15.469828595229984,19.608985881219922,,
,,15.53608508728453,17.666376277802883,,
,,15.567257846567141,15.729173845979957,,
,,15.649334609814808,80.97144421987005,,
,,15.72388543309693,13.46631672970679,,
,,15.870680372160004,81.19602609038576,,
,,15.882827395703337,12.23413938156503,,
